Data,vendas
2000-01-01T00:00:00-02:00,52.56897
2000-02-01T00:00:00-02:00,52.22312
2000-03-01T00:00:00-03:00,55.42222
2000-04-01T00:00:00-03:00,56.45977
2000-05-01T00:00:00-03:00,54.03883
2000-06-01T00:00:00-03:00,54.03883
2000-07-01T00:00:00-03:00,56.02746
2000-08-01T00:00:00-03:00,55.33576
2000-09-01T00:00:00-03:00,55.59515
2000-10-01T00:00:00-03:00,54.98991
2000-11-01T00:00:00-03:00,55.2493
2000-12-01T00:00:00-02:00,73.23342
2001-01-01T00:00:00-02:00,54.29822
2001-02-01T00:00:00-02:00,52.56897
2001-03-01T00:00:00-03:00,58.10255
2001-04-01T00:00:00-03:00,56.80562
2001-05-01T00:00:00-03:00,54.21175
2001-06-01T00:00:00-03:00,54.29822
2001-07-01T00:00:00-03:00,54.29822
2001-08-01T00:00:00-03:00,55.33576
2001-09-01T00:00:00-03:00,55.33576
2001-10-01T00:00:00-03:00,56.02746
2001-11-01T00:00:00-03:00,55.07637
2001-12-01T00:00:00-02:00,71.50418
2002-01-01T00:00:00-02:00,53.69298
2002-02-01T00:00:00-02:00,51.18558
2002-03-01T00:00:00-03:00,60.00472
2002-04-01T00:00:00-03:00,53.26067
2002-05-01T00:00:00-03:00,56.02746
2002-06-01T00:00:00-03:00,53.26067
2002-07-01T00:00:00-03:00,54.29822
2002-08-01T00:00:00-03:00,56.20038
2002-09-01T00:00:00-03:00,51.96374
2002-10-01T00:00:00-03:00,55.68161
2002-11-01T00:00:00-03:00,54.47114
2002-12-01T00:00:00-02:00,65.53829
2003-01-01T00:00:00-02:00,50.83973
2003-02-01T00:00:00-02:00,48.93756
2003-03-01T00:00:00-03:00,52.0502
2003-04-01T00:00:00-03:00,52.7419
2003-05-01T00:00:00-03:00,52.30959
2003-06-01T00:00:00-03:00,48.67818
2003-07-01T00:00:00-03:00,51.3585
2003-08-01T00:00:00-03:00,53.00128
2003-09-01T00:00:00-03:00,50.06157
2003-10-01T00:00:00-03:00,53.34713
2003-11-01T00:00:00-03:00,53.26067
2003-12-01T00:00:00-02:00,66.74876
2004-01-01T00:00:00-02:00,52.48251
2004-02-01T00:00:00-02:00,51.27204
2004-03-01T00:00:00-03:00,54.03883
2004-04-01T00:00:00-03:00,56.28684
2004-05-01T00:00:00-03:00,54.90345
2004-06-01T00:00:00-03:00,53.00128
2004-07-01T00:00:00-03:00,56.63269
2004-08-01T00:00:00-03:00,55.07637
2004-09-01T00:00:00-03:00,54.64406
