Data,vendas,
2003.01,24.87825,
2003.02,23.3968,
2003.03,23.49896,
2003.04,24.21415,
2003.05,25.79778,
2003.06,24.62283,
2003.07,26.10428,
2003.08,25.54235,
2003.09,25.64452,
2003.10,27.02381,
2003.11,26.00212,
2003.12,30.24215,
2004.01,26.15537,
2004.02,24.87825,
2004.03,28.76069,
2004.04,26.56405,
2004.05,28.14767,
2004.06,27.68791,
2004.07,28.09659,
2004.08,27.33032,
2004.09,26.51296,
2004.10,27.07489,
2004.11,26.41079,
2004.12,31.41709,
2005.01,26.25754,
2005.02,25.08259,
2005.03,29.27154,
2005.04,27.99442,
2005.05,29.37371,
2005.06,29.42479,
2005.07,29.32262,
2005.08,30.54865,
2005.09,28.81177,
2005.10,29.47588,
2005.11,29.37371,
2005.12,33.97133,
2006.01,28.55635,
2006.02,26.35971,
2006.03,30.44648,
2006.04,28.55635,
2006.05,30.90625,
2006.06,29.83347,
2006.07,30.24215,
2006.08,31.26384,
2006.09,30.13998,
2006.10,30.85516,
2006.11,30.3954,
2006.12,34.48218,
2007.01,29.93564,
2007.02,27.68791,
2007.03,32.23445,
2007.04,30.85516,
2007.05,33.10289,
2007.06,33.10289,
2007.07,33.25614,
2007.08,34.7376,
2007.09,33.00072,
2007.10,34.58435,
2007.11,33.25614,
2007.12,38.72221,
2008.01,34.78868,
2008.02,31.57035,
2008.03,35.35062,
2008.04,35.55496,
2008.05,37.44509,
2008.06,36.0658,
2008.07,38.16028,
2008.08,37.7516,
2008.09,38.62004,
2008.10,39.38631,
2008.11,37.95594,
2008.12,44.29044,
2009.01,37.85377,
2009.02,35.4017,
2009.03,40.86776,
2009.04,39.53956,
2009.05,41.27644,
2009.06,40.56126,
2009.07,43.57525,
2009.08,43.06441,
2009.09,41.83837,
2009.10,44.23936,
2009.11,42.24705,
2009.12,49.04132,
2010.01,41.78729,
2010.02,40.61234,
2010.03,46.99793,
2010.04,43.93285,
2010.05,46.23166,
2010.06,44.7502,
2010.07,47.1001,
2010.08,48.4283,
2010.09,46.84468,
2010.10,48.32613,
2010.11,47.91745,
2010.12,55.98884,
2011.01,47.1001,
2011.02,44.90346,
2011.03,49.50108,
2011.04,48.53047,
2011.05,51.74881,
2011.06,50.52277,
2011.07,52.05532,
2011.08,53.02592,
2011.09,51.90206,
2011.10,52.00423,
2011.11,51.90206,
2011.12,59.87128,
2012.01,51.13579,
2012.02,49.14349,
2012.03,56.49968,
2012.04,53.02592,
2012.05,58.08331,
2012.06,56.19318,
2012.07,57.98114,
2012.08,59.82019,
2012.09,56.19318,
2012.10,58.74741,
2012.11,56.90836,
2012.12,62.32334,
2013.01,56.55077,
2013.02,52.51508,
2013.03,59.20717,
2013.04,60.94405,
2013.05,62.83419,
2013.06,59.97344,
2013.07,64.72432,
2013.08,65.74602,
2013.09,62.83419,
2013.10,65.38842,
2013.11,63.85588,
2013.12,70.03713,
2014.01,64.41781,
2014.02,60.33104,
2014.03,64.72432,
2014.04,64.26456,
2014.05,69.27086,
2014.06,64.62215,
2014.07,69.27086,
2014.08,70.49689,
2014.09,69.37303,
2014.10,71.77401,
2014.11,67.68724,
2014.12,75.60536,
2015.01,67.63615,
2015.02,61.40382,
2015.03,71.36533,
2015.04,68.24917,
2015.05,70.54798,
2015.06,68.35134,
2015.07,70.59906,
2015.08,71.26316,
2015.09,68.55568,
2015.10,71.4675,
2015.11,69.06652,
2015.12,77.95526,
2016.01,67.4829,
2016.02,65.03083,
2016.03,72.89788,
2016.04,67.38073,
2016.05,68.76001,
2016.06,66.92096,
2016.07,68.30025,
2016.08,68.60676,
2016.09,66.41012,
2016.10,67.07422,
2016.11,66.56337,
2016.12,73.61306,
2017.01,66.04318,
2017.02,61.71312,
2017.03,71.68058,
2017.04,65.4027,
2017.05,71.18788,
2017.06,68.75534,
2017.07,69.82342,
2017.08,71.56912,
2017.09,71.0816,
2017.10,71.26037,
2017.11,71.86985,
2017.12,78.82904,
2018.01,69.61536,
2018.02,64.43812,
2018.03,75.29896,
2018.04,72.08502,
2018.05,74.36287,
2018.06,71.89103,
2018.07,73.66299,
2018.08,76.75942,
2018.09,72.39835,
2018.10,76.02821,
2018.11,77.35737,
2018.12,84.50243,
2019.01,74.69245,
2019.02,70.89639,
2019.03,78.06128,
2019.04,74.8621,
2019.05,80.26649,
2019.06,75.45953,
2019.07,79.92007,
2019.08,80.73185,
2019.09,77.25539,
2019.10,81.46121,
2019.11,84.76326,
2019.12,90.4569,
2020.01,79.96735,
2020.02,76.44071,
2020.03,87.44288,
2020.04,67.56282,
2020.05,78.16551,
2020.06,80.81311,
2020.07,90.68329,
2020.08,87.9606,
2020.09,87.93823,
2020.10,92.81354,
2020.11,94.79613,
2020.12,103.25759,
2021.01,90.23302,
2021.02,83.19861,
2021.03,97.79011,
2021.04,90.57747,
2021.05,93.39176,
2021.06,91.54585,
2021.07,95.07431,
2021.08,93.76251,
2021.09,91.66922,
2021.10,92.66061,
2021.11,97.20674,
2021.12,111.25742,
2022.01,103.01413,
2022.02,91.09363,
2022.03,101.3261,
2022.04,93.73962,
2022.05,102.03812,
2022.06,99.79778,
2022.07,98.86883,
2022.08,99.99215,
2022.09,97.02643,
2022.10,97.53164,
2022.11,103.46687,
2022.12,112.10471,
2023.01,95.23092,
2023.02,90.63142,
2023.03,108.51701,
2023.04,96.75034,
2023.05,109.74968,
2023.06,104.45825,
2023.07,105.34325,
2023.08,106.50735,
2023.09,103.5143,
2023.10,105.50039,
2023.11,111.36205,
2023.12,117.52999,
2024.01,101.97248,
2024.02,100.66582,
2024.03,113.03441,
2024.04,107.71928,
2024.05,116.77494,
2024.06,112.68921,
2024.07,114.41473,
2024.08,115.4157,
2024.09,112.68637,
2024.10,114.60433,
2024.11,117.07409,
2024.12,120.32866,
2025.01,107.66769,
2025.02,103.92113,
2025.03,115.42462,
2025.04,109.78403,
2025.05,123.18188,
2025.06,115.06034,
2025.07,119.04206,
2025.08,118.31979,
2025.09,118.32323,
