Data,vendas,
2000.01,52.56897,
2000.02,52.22312,
2000.03,55.42222,
2000.04,56.45977,
2000.05,54.03883,
2000.06,54.03883,
2000.07,56.02746,
2000.08,55.33576,
2000.09,55.59515,
2000.10,54.98991,
2000.11,55.2493,
2000.12,73.23342,
2001.01,54.29822,
2001.02,52.56897,
2001.03,58.10255,
2001.04,56.80562,
2001.05,54.21175,
2001.06,54.29822,
2001.07,54.29822,
2001.08,55.33576,
2001.09,55.33576,
2001.10,56.02746,
2001.11,55.07637,
2001.12,71.50418,
2002.01,53.69298,
2002.02,51.18558,
2002.03,60.00472,
2002.04,53.26067,
2002.05,56.02746,
2002.06,53.26067,
2002.07,54.29822,
2002.08,56.20038,
2002.09,51.96374,
2002.10,55.68161,
2002.11,54.47114,
2002.12,65.53829,
2003.01,50.83973,
2003.02,48.93756,
2003.03,52.0502,
2003.04,52.7419,
2003.05,52.30959,
2003.06,48.67818,
2003.07,51.3585,
2003.08,53.00128,
2003.09,50.06157,
2003.10,53.34713,
2003.11,53.26067,
2003.12,66.74876,
2004.01,52.48251,
2004.02,51.27204,
2004.03,54.03883,
2004.04,56.28684,
2004.05,54.90345,
2004.06,53.00128,
2004.07,56.63269,
2004.08,55.07637,
2004.09,54.64406,
2004.10,59.05363,
2004.11,56.63269,
2004.12,74.96266,
2005.01,55.76807,
2005.02,51.79081,
2005.03,59.31302,
2005.04,55.59515,
2005.05,55.59515,
2005.06,54.81699,
2005.07,58.53486,
2005.08,57.67024,
2005.09,56.71915,
2005.10,59.83179,
2005.11,58.01609,
2005.12,76.2596,
2006.01,58.4484,
2006.02,55.59515,
2006.03,61.38811,
2006.04,63.4632,
2006.05,59.65887,
2006.06,59.48594,
2006.07,61.47457,
2006.08,61.99334,
2006.09,62.85797,
2006.10,63.54966,
2006.11,63.29028,
2006.12,81.44732,
2007.01,61.30165,
2007.02,59.48594,
2007.03,67.18107,
2007.04,66.05706,
2007.05,64.58721,
2007.06,64.41428,
2007.07,64.41428,
2007.08,65.88414,
2007.09,66.83522,
2007.10,67.09461,
2007.11,67.354,
2007.12,86.46213,
2008.01,66.48938,
2008.02,64.41428,
2008.03,72.88757,
2008.04,66.40291,
2008.05,70.03432,
2008.06,65.36537,
2008.07,67.87277,
2008.08,71.07187,
2008.09,67.69984,
2008.10,71.93649,
2008.11,71.41772,
2008.12,89.4883,
2009.01,71.15833,
2009.02,68.13216,
2009.03,72.71465,
2009.04,75.82728,
2009.05,74.70328,
2009.06,70.72602,
2009.07,74.70328,
2009.08,77.12422,
2009.09,74.27097,
2009.10,80.75563,
2009.11,77.29714,
2009.12,98.22098,
2010.01,78.42115,
2010.02,76.00021,
2010.03,83.95472,
2010.04,79.97747,
2010.05,80.84209,
2010.06,79.11285,
2010.07,83.00364,
2010.08,82.65779,
2010.09,81.53378,
2010.10,86.11628,
2010.11,81.62025,
2010.12,104.27332,
2011.01,81.70671,
2011.02,77.98884,
2011.03,85.16519,
2011.04,88.36429,
2011.05,82.39841,
2011.06,81.2744,
2011.07,86.80797,
2011.08,85.85689,
2011.09,84.38704,
2011.10,88.10491,
2011.11,86.63505,
2011.12,109.02874,
2012.01,88.62368,
2012.02,88.36429,
2012.03,95.71357,
2012.04,91.56339,
2012.05,89.66122,
2012.06,90.35292,
2012.07,91.04462,
2012.08,93.20617,
2012.09,92.6874,
2012.10,93.89787,
2012.11,93.81141,
2012.12,116.46448,
2013.01,91.56339,
2013.02,86.54859,
2013.03,99.60437,
2013.04,86.63505,
2013.05,91.9957,
2013.06,89.66122,
2013.07,93.55202,
2013.08,98.3939,
2013.09,93.55202,
2013.10,96.92404,
2013.11,99.25852,
2013.12,119.23127,
2014.01,96.66466,
2014.02,91.30401,
2014.03,96.83758,
2014.04,95.36773,
2014.05,94.5031,
2014.06,90.35292,
2014.07,93.55202,
2014.08,96.92404,
2014.09,91.73632,
2014.10,98.73975,
2014.11,97.87513,
2014.12,118.10726,
2015.01,96.83758,
2015.02,89.66122,
2015.03,94.5031,
2015.04,93.46556,
2015.05,92.60094,
2015.06,87.93198,
2015.07,91.04462,
2015.08,92.25509,
2015.09,89.74769,
2015.10,98.3939,
2015.11,92.42801,
2015.12,113.6977,
2016.01,91.21754,
2016.02,88.45076,
2016.03,93.3791,
2016.04,89.14245,
2016.05,87.49967,
2016.06,86.46213,
2016.07,90.09354,
2016.08,90.26646,
2016.09,87.58613,
2016.10,92.08216,
2016.11,90.95816,
2016.12,110.41214,
2017.01,91.48123,
2017.02,87.8314,
2017.03,86.82494,
2017.04,91.84445,
2017.05,87.53959,
2017.06,87.1895,
2017.07,90.34657,
2017.08,91.7812,
2017.09,92.65839,
2017.10,93.44556,
2017.11,96.00754,
2017.12,117.04537,
2018.01,94.33405,
2018.02,89.55314,
2018.03,100.19715,
2018.04,91.92385,
2018.05,94.54645,
2018.06,90.715,
2018.07,91.55394,
2018.08,96.8461,
2018.09,93.09391,
2018.10,95.32416,
2018.11,99.01226,
2018.12,118.83393,
2019.01,96.47752,
2019.02,90.75268,
2019.03,94.3761,
2019.04,93.30936,
2019.05,93.46582,
2019.06,91.40297,
2019.07,93.14186,
2019.08,99.22104,
2019.09,93.26685,
2019.10,97.85853,
2019.11,101.78169,
2019.12,115.23238,
2020.01,93.83039,
2020.02,94.36996,
2020.03,104.74174,
2020.04,97.66291,
2020.05,102.18091,
2020.06,97.29924,
2020.07,102.30092,
2020.08,102.19893,
2020.09,97.30704,
2020.10,105.02037,
2020.11,99.93074,
2020.12,119.24585,
2021.01,95.00777,
2021.02,90.06524,
2021.03,100.68125,
2021.04,95.97968,
2021.05,97.83454,
2021.06,94.35815,
2021.07,100.48852,
2021.08,97.42588,
2021.09,94.24539,
2021.10,99.79527,
2021.11,99.29806,
2021.12,118.7507,
2022.01,94.08817,
2022.02,91.8808,
2022.03,97.29826,
2022.04,99.87038,
2022.05,97.38395,
2022.06,96.46825,
2022.07,100.21917,
2022.08,98.78697,
2022.09,97.78536,
2022.10,102.51205,
2022.11,102.04472,
2022.12,121.66192,
2023.01,96.3007,
2023.02,92.73136,
2023.03,101.62821,
2023.04,103.19666,
2023.05,98.68158,
2023.06,99.56226,
2023.07,103.17058,
2023.08,104.48636,
2023.09,104.74064,
2023.10,104.46568,
2023.11,107.12675,
2023.12,128.2214,
2024.01,102.1485,
2024.02,101.42708,
2024.03,110.41701,
2024.04,101.88901,
2024.05,108.78253,
2024.06,103.1549,
2024.07,106.54876,
2024.08,111.28112,
2024.09,105.46537,
2024.10,110.39785,
2024.11,112.92735,
2024.12,127.20855,
2025.01,104.99217,
2025.02,101.14034,
2025.03,108.8761,
2025.04,109.31549,
2025.05,109.30394,
2025.06,102.83476,
2025.07,106.99766,
2025.08,110.65212,
2025.09,104.78473,
